id;nome;descricao;foto_url;sku;ean;criado;preco;preco_promocional;total_estoque
1;payment invoice withdrawal;../fake-data/blob/hipster.txt;Principal Islands;Gourde;projection;2021-06-15T17:47:46;26424;21193;98431
2;Operations Data Center;../fake-data/blob/hipster.txt;Cape firewall;JSON 1080p;navigating Accounts Optimization;2021-06-16T01:55:07;54677;35350;17114
3;Awesome Refined;../fake-data/blob/hipster.txt;Account;Soft;Corporate Australian Kids;2021-06-15T04:57:10;7459;18850;41149
4;Operations;../fake-data/blob/hipster.txt;Russian Wall;Manager;Assimilated value-added optical;2021-06-15T06:17:01;29599;22998;56822
5;Security deposit Concrete;../fake-data/blob/hipster.txt;synthesizing up;Kingdom;full-range Tasty Shores;2021-06-15T09:52:59;78577;74631;47931
6;blockchains convergence;../fake-data/blob/hipster.txt;state;indigo;Berkshire extranet;2021-06-15T20:08:10;9729;4584;27197
7;Operations Technician;../fake-data/blob/hipster.txt;ROI Card;reboot Argentine Savings;optical;2021-06-16T00:10:45;78105;47237;79595
8;Loan generating Croatia;../fake-data/blob/hipster.txt;bandwidth;gold;productize Road;2021-06-15T07:51:31;32798;68193;37120
9;Fords;../fake-data/blob/hipster.txt;Forge;Corporate Pizza Poland;Towels Cambridgeshire;2021-06-15T21:50:27;71317;92606;76741
10;Corporate Bike;../fake-data/blob/hipster.txt;Outdoors South Union;blue;Corners Road blue;2021-06-15T15:24:36;60226;31495;91329
